run_dir,datasets,status,successful,failed,total_experiments
results/runs/run_20260315T155825Z,pbmc3k,,,,
results/runs/run_20260315T160131Z,pbmc3k,,,,
results/runs/run_20260315T162127Z,"paul15_k5,paul15_k8,paul15_k12,paul15_k15,pbmc3k",,,,
results/runs/run_20260315T164313Z,"pbmc3k,paul15",,,,
results/runs/run_20260329T092135Z,"pbmc3k,paul15",,,,
results/runs/run_20260329T093433Z,"pbmc3k,paul15",,,,
results/runs/run_20260329T100757Z,"pbmc3k,paul15",,216.0,0.0,216.0
results/runs/run_20260329T143923Z,pbmc3k,,,,
results/runs/run_20260329T144040Z,pbmc3k,,3.0,0.0,3.0
results/runs/run_20260329T145741Z,pbmc3k,,3.0,0.0,3.0
results/runs/run_20260329T152307Z,pbmc3k,,3.0,0.0,3.0
results/runs/run_20260329T152434Z,"pbmc3k,paul15",,6.0,0.0,6.0
results/runs/run_20260329T154638Z,pbmc3k,,9.0,0.0,9.0
results/runs/run_20260329T154744Z,"pbmc3k,paul15",,6.0,0.0,6.0
results/runs/run_20260329T163618Z,"pbmc3k,paul15",,,,
results/runs/run_20260329T164630Z,pbmc3k,,3.0,0.0,3.0
results/runs/run_20260329T164734Z,pbmc3k,,3.0,0.0,3.0
results/runs/run_20260329T180924Z,pbmc3k,,3.0,0.0,3.0
results/runs/run_20260329T181153Z,pbmc3k,,9.0,0.0,9.0
results/runs/run_20260329T181346Z,pbmc3k,,3.0,0.0,3.0
results/runs/run_20260329T182318Z,"pbmc3k,paul15",,576.0,0.0,576.0
results/runs/run_20260329T213745Z,pbmc3k,,3.0,0.0,3.0
results/runs/run_20260329T214854Z,pbmc3k,,3.0,0.0,3.0
results/runs/run_20260329T215038Z,pbmc3k,,3.0,0.0,3.0
results/runs/run_20260329T215140Z,pbmc3k,,3.0,0.0,3.0
results/runs/run_20260330T114723Z_p2335889,pbmc3k,,,,
results/runs/run_20260330T125459Z_j1561566_p1885948,pbmc3k,completed,9.0,0.0,9.0
results/runs/run_20260330T145950Z_j1561597_p1894992,scvi_pbmc12k,completed,60.0,0.0,60.0
results/runs/run_20260330T174022Z_j1561730_p1935229,splatter_k04,completed,16.0,2.0,18.0
results/runs/run_20260330T191312Z_j1561777_p1931113,splatter_k04,completed,16.0,2.0,18.0
results/runs/run_20260330T195624Z_j1561792_p1944199,splatter_k04,completed,18.0,0.0,18.0
results/runs/run_20260330T205128Z_j1561803_p1249392,splatter_k12,completed,12.0,0.0,12.0
results/runs/run_20260330T213521Z_j1561813_p1617344,"splatter_k04,splatter_k08,splatter_k12",running,,,
results/runs/run_20260331T091811Z_j1561961_a1_p492513,splatter_k12,completed,14.0,0.0,14.0
results/runs/run_20260331T091920Z_j1561964_a2_p495343,splatter_k12,completed,14.0,0.0,14.0
results/runs/run_20260331T092119Z_j1561967_a3_p498176,splatter_k12,completed,6.0,0.0,6.0
results/runs/run_20260331T092512Z_j1561954_a4_p499634,splatter_k12,completed,1.0,0.0,1.0
